rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/explained_variance,train/n_updates,train/value_loss,train/clip_range,train/loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/entropy_loss
22.363636363636363,22.363636363636363,2442,0,256,1,,,,,,,,,,
22.5,22.5,1194,0,512,2,-0.049603939056396484,20,4.07595787383616,0.2,0.31572994589805603,0.001,0.114453125,-0.015823755430756137,0.010295147,-0.6855747789144516
25.482758620689655,25.482758620689655,1047,0,768,3,0.25610339641571045,40,3.105338525399566,0.2,0.41540950536727905,0.001,0.1173828125,-0.02224516132264398,0.01059005,-0.6507223568856716
30.545454545454547,30.545454545454547,972,1,1024,4,0.4659022092819214,60,2.0380006154067813,0.2,0.1959693878889084,0.001,0.125390625,-0.021075542329344898,0.016314747,-0.6162286330014467
32.638888888888886,32.638888888888886,944,1,1280,5,0.8220766335725784,80,2.3203599359840155,0.2,1.1045711040496826,0.001,0.3609375,-0.05327906529419124,0.018636493,-0.5978874348104
39.26315789473684,39.26315789473684,921,1,1536,6,0.6548804342746735,100,3.4930883437395095,0.2,1.6892460584640503,0.001,0.3529296875,-0.04472863440751098,0.036690697,-0.538522270321846
44.675,44.675,907,1,1792,7,0.8468709588050842,120,1.548303330037743,0.2,0.5036404132843018,0.001,0.2890625,-0.024015053076436744,0.041115463,-0.5411037661135196
46.8780487804878,46.8780487804878,899,2,2048,8,0.9145401567220688,140,1.4811522397212684,0.2,0.8719167113304138,0.001,0.1505859375,-0.01576073250034824,0.017441614,-0.5412051822990179
50.11904761904762,50.11904761904762,892,2,2304,9,0.9845543289557099,160,0.5455290057230741,0.2,0.08481495827436447,0.001,0.2181640625,-0.023406821954995393,0.013241304,-0.5093648040667176
50.11904761904762,50.11904761904762,885,2,2560,10,0.9690521117299795,180,1.159599243104458,0.2,0.20397774875164032,0.001,0.1533203125,-0.014885793346911669,0.032582797,-0.5173225296661258
60.58139534883721,60.58139534883721,881,3,2816,11,0.2605053186416626,200,0.30329464409296636,0.2,0.0299438014626503,0.001,0.1119140625,-0.004391492094146088,0.009610026,-0.4876105535775423
67.91111111111111,67.91111111111111,878,3,3072,12,0.9957683514803648,220,0.25058523332118054,0.2,-0.007954646833240986,0.001,0.10078125,-0.008599338913336396,0.011851288,-0.49152665454894306
71.6086956521739,71.6086956521739,875,3,3328,13,0.944560669362545,240,1.065139956632629,0.2,0.25409871339797974,0.001,0.1513671875,-0.020101261147647164,0.0053297393,-0.4932556198909879
71.6086956521739,71.6086956521739,866,4,3584,14,0.9410538859665394,260,1.569673295330722,0.2,1.2728296518325806,0.001,0.1708984375,-0.019580479408614338,0.013025163,-0.4952456263825297
78.40425531914893,78.40425531914893,863,4,3840,15,0.9186366572976112,280,0.12823865227728676,0.2,0.0004529561847448349,0.001,0.0826171875,-0.003863871784415096,0.011095658,-0.4101015569642186
83.1875,83.1875,861,4,4096,16,0.9768163058906794,300,0.6209463887149468,0.2,0.047716401517391205,0.001,0.174609375,-0.026064866792876274,0.012136964,-0.49881973303854465
88.24489795918367,88.24489795918367,857,5,4352,17,0.36430615186691284,320,5.589906481083017,0.2,0.6077069044113159,0.001,0.1734375,-0.017967850773129613,0.011226446,-0.5215696027502418
88.24489795918367,88.24489795918367,857,5,4608,18,0.9025400206446648,340,1.072715125628747,0.2,0.10655457526445389,0.001,0.050390625,-0.010374383546877652,0.007071359,-0.5087875263765455
92.6,92.6,856,5,4864,19,0.9927611006423831,360,0.09903122161340434,0.2,-0.024402307346463203,0.001,0.153125,-0.028307076246710493,0.009666914,-0.45310433227568864
92.6,92.6,855,5,5120,20,0.8662282228469849,380,1.6810845123014588,0.2,0.21427735686302185,0.001,0.10546875,-0.0036073450464755297,0.012694652,-0.3871654665097594
100.58823529411765,100.58823529411765,854,6,5376,21,0.9602062590420246,400,0.054768125452574166,0.2,-0.039453815668821335,0.001,0.12265625,-0.012754629587288947,0.011442646,-0.4418500319123268
105.88461538461539,105.88461538461539,854,6,5632,22,0.996156278764829,420,0.03209954802305219,0.2,-0.010729487985372543,0.001,0.064453125,-0.0124122271372471,0.00904352,-0.399327726662159
109.75471698113208,109.75471698113208,847,6,5888,23,0.15825074911117554,440,8.678786043263973,0.2,0.3334251046180725,0.001,0.04609375,1.8440280109643935e-05,0.02597568,-0.4658582769334316
109.75471698113208,109.75471698113208,846,7,6144,24,0.6132746636867523,460,5.441672581247985,0.2,0.66025710105896,0.001,0.080078125,-0.008362262533046306,0.008586347,-0.45291036274284124
115.2909090909091,115.2909090909091,846,7,6400,25,-0.021704792976379395,480,0.010525290778991803,0.2,-0.032789140939712524,0.001,0.3037109375,-0.02185154986800626,0.02237924,-0.40643846802413464
115.2909090909091,115.2909090909091,845,7,6656,26,0.07718890905380249,500,5.331618900876492,0.2,1.1845893859863281,0.001,0.087109375,-0.009807903447654098,0.0071432656,-0.4815846670418978
118.92857142857143,118.92857142857143,845,8,6912,27,0.9483582451939583,520,0.03773104068241082,0.2,-0.03223587945103645,0.001,0.201953125,-0.030278920265845954,0.009884307,-0.43415863420814277
121.45614035087719,121.45614035087719,844,8,7168,28,0.8973831012845039,540,2.07408933325205,0.2,0.2814841866493225,0.001,0.0953125,-0.021991991356480868,0.004915952,-0.4636686095967889
125.44827586206897,125.44827586206897,841,8,7424,29,0.9919553007930517,560,0.39021349362992624,0.2,0.11513783782720566,0.001,0.1224609375,-0.0012877707544248552,0.027001258,-0.41122860498726366
