time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/approx_kl,train/clip_range,train/clip_fraction,train/value_loss,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/loss
0,2048,1,24.214285714285715,24.214285714285715,2501,,,,,,,,,,
2,4096,2,28.16,28.16,2008,0.007729948,0.2,0.07021484375,57.28103787600994,8.237361907958984e-05,10,-0.011026673784363084,0.0003,-0.6870062267407775,7.914943218231201
3,6144,3,33.06,33.06,1892,0.010065534,0.2,0.07529296875,38.807776647806165,0.06298595666885376,20,-0.02242657187161967,0.0003,-0.6609591104090213,16.972623825073242
4,8192,4,44.97,44.97,1844,0.008692794,0.2,0.09833984375,53.13580766916275,0.223696768283844,30,-0.02218726594292093,0.0003,-0.6256389940157533,22.494674682617188
5,10240,5,58.81,58.81,1811,0.008657498,0.2,0.068896484375,60.709133100509646,0.2945469617843628,40,-0.016331097425427286,0.0003,-0.6103907534852624,24.88357925415039
