rollout/ep_len_mean,train/explained_variance,train/entropy_loss,train/learning_rate,time/fps,time/time_elapsed,train/n_updates,train/value_loss,rollout/ep_rew_mean,train/policy_loss,time/iterations,time/total_timesteps
40.166666666666664,0.018126964569091797,-0.6732048988342285,0.0007,1348,0,99,8.535422325134277,40.166666666666664,1.6250139474868774,100,500
39.81818181818182,-0.03666365146636963,-0.6514792442321777,0.0007,1347,0,199,7.610320568084717,39.81818181818182,1.6181221008300781,200,1000
48.32258064516129,0.00923776626586914,-0.6152201890945435,0.0007,1338,1,299,6.343149662017822,48.32258064516129,1.1405067443847656,300,1500
53.861111111111114,0.010397613048553467,-0.6329874992370605,0.0007,1329,1,399,5.916128635406494,53.861111111111114,1.5421198606491089,400,2000
54.15217391304348,-0.00234377384185791,-0.6015235781669617,0.0007,1323,1,499,185.67623901367188,54.15217391304348,0.057480812072753906,500,2500
56.60377358490566,-0.007874369621276855,-0.6150137186050415,0.0007,1320,2,599,4.627791881561279,56.60377358490566,1.2279400825500488,600,3000
59.8448275862069,0.004615068435668945,-0.5553795099258423,0.0007,1320,2,699,3.9242348670959473,59.8448275862069,1.5290383100509644,700,3500
57.865671641791046,2.9265880584716797e-05,-0.6780529618263245,0.0007,1320,3,799,3.462254047393799,57.865671641791046,1.04119074344635,800,4000
62.25352112676056,0.0011339783668518066,-0.5102792978286743,0.0007,1319,3,899,2.971278190612793,62.25352112676056,1.3436243534088135,900,4500
64.25974025974025,-0.00023448467254638672,-0.6294241547584534,0.0007,1318,3,999,2.5366737842559814,64.25974025974025,0.9489046335220337,1000,5000
66.48780487804878,2.676248550415039e-05,-0.6765381693840027,0.0007,1317,4,1099,2.1290509700775146,66.48780487804878,0.7704262137413025,1100,5500
68.28735632183908,-0.0015870332717895508,-0.5915020108222961,0.0007,1316,4,1199,1.758445382118225,68.28735632183908,0.5003237128257751,1200,6000
68.68131868131869,0.00013327598571777344,-0.6400918960571289,0.0007,1315,4,1299,1.411691665649414,68.68131868131869,0.6487252116203308,1300,6500
72.67368421052632,-0.0001697540283203125,-0.59732985496521,0.0007,1314,5,1399,1.105277419090271,72.67368421052632,0.47198501229286194,1400,7000
76.4795918367347,0.002176523208618164,-0.2872132956981659,0.0007,1313,5,1499,4791.71875,76.4795918367347,-92.91036224365234,1500,7500
79.77,1.4483928680419922e-05,-0.6044920086860657,0.0007,1313,6,1599,2247.965576171875,79.77,-19.603363037109375,1600,8000
81.47,0.00011420249938964844,-0.5950871706008911,0.0007,1312,6,1699,0.39162546396255493,81.47,0.3248937427997589,1700,8500
88.2,0.0002307891845703125,-0.4236578047275543,0.0007,1313,6,1799,0.23576998710632324,88.2,0.24208100140094757,1800,9000
91.86,7.480382919311523e-05,-0.5555758476257324,0.0007,1314,7,1899,0.11740224808454514,91.86,0.16187672317028046,1900,9500
95.08,-0.000247955322265625,-0.49157196283340454,0.0007,1313,7,1999,0.04219537973403931,95.08,0.07262128591537476,2000,10000
